word	defn	main_meaning	other meaning
醒悟	 醒悟	 tỉnh ngộ	 tỉnh ngộ/giác ngộ/sáng mắt
扰乱	 擾亂	 nhiễu loạn	 nhiễu loạn/quấy nhiễu/hỗn loạn/quấy rối
高人	 高人	 cao nhân	 cao nhân/người xuất sắc/người ưu tú/người có khiếu/người có tài/trí thức/phần tử trí thức
师妹	 師妹	 sư muội	 sư muội
求救	 求救	 cầu cứu	 cầu cứu
西欧	 西歐	 tây âu	 Tây Âu/miền tây Châu Âu
日光	 日光	 nhật quang	 ánh nắng/nhật quang/ánh sáng mặt trời
杨柳	 楊柳	 dương liễu	 dương liễu/cây dương và cây liễu/cây liễu
威风	 威風	 uy phong	 uy phong/oai phong/oai/có uy phong
西域	 西域	 tây vực	 Tây Vực/Tây-vực/nước phía Tây
舰队	 艦隊	 hạm đội	 hạm đội/đoàn tàu chiến
地势	 地勢	 địa thế	 địa thế
惯性	 慣性	 quán tính	 quán tính
奢华	 奢華	 xa hoa	 xa hoa/xa xỉ phung phí
成家	 成家	 thành gia	 thành gia/lập gia đình/thành gia thất/cưới vợ/thành trùm/trở thành chuyên gia/thành người lão luyện/thành danh
顽固	 頑固	 ngoan cố	 ngoan cố/bảo thủ/gàn dở/lập trường phản động/không chịu thay đổi
比率	 比率	 tỉ suất	 phần trăm/tỉ suất
雄厚	 雄厚	 hùng hậu	 hùng hậu
指教	 指教	 chỉ giáo	 chỉ giáo/chỉ bảo/chỉ vẽ/dạy dỗ
英才	 英才	 anh tài	 anh tài/tài trí hơn người/tài trí kiệt xuất
恶性	 惡性	 ác tính	 ác tính
收支	 收支	 thu chi	 thu chi
珊瑚	 珊瑚	 san hô	 san hô
附属	 附屬	 phụ thuộc	 phụ thuộc/lệ thuộc/quy thuộc/thuộc
假定	 假定	 giả định	 giả định/nếu/nếu như/giả dụ/giả thuyết
嘲讽	 嘲諷	 trào phúng	 trào phúng/châm biếm
不朽	 不朽	 bất hủ	 bất hủ/bất diệt
天龙	 天龍	 thiên long	 thiên long
趋向	 趨向	 xu hướng	 xu hướng/chiều hướng/xu thế
真假	 真假	 chân giả	 thiệt giả/chân giả/thật giả/thực hư/thật và giả/chân thực và giả dối
片面	 片面	 phiến diện	 phiến diện/một mặt/một chiều
王后	 王後	 vương hậu	 vương hậu/hoàng hậu/vợ vua
霸王	 霸王	 bá vương	 bá vương/Bá Vương/kẻ cực kỳ thô bạo/kẻ ngang ngược
美满	 美滿	 mĩ mãn/mỹ mãn	 mỹ mãn/mĩ mãn/đầm ấm/cuộc sống đầy đủ
大西洋	 大西洋	 đại tây dương	 Đại Tây Dương
彷佛	 徬佛	 phảng phất	 Phảng phất/thấy không được rõ ràng
男儿	 男兒	 nam nhi	 nam nhi/đàn ông/nam tử hán/con trai
山羊	 山羊	 sơn dương	 sơn dương/dê rừng
寒暄	 寒暄	 hàn huyên	 hàn huyên/hỏi han/chào hỏi/ân cần
守卫	 守衛	 thủ vệ	 thủ vệ/canh phòng/bảo vệ/giữ
混沌	 混沌	 hỗn độn	 hỗn độn/thời kỳ hỗn độn/thời kỳ hỗn mang/đần độn/ngu ngốc/vô tri vô thức/ngu đần/ngu dốt
防线	 防線	 phòng tuyến	 phòng tuyến
坚固	 堅固	 kiên cố	 chắc chắn/kiên cố/vững vàng/vững bền/vững chắc
黯淡	 黯淡	 ảm đạm	 ảm đạm/tối tăm/u ám
不公	 不公	 bất công	 bất công/thiên vị/không công bằng
器械	 器械	 khí giới	 khí giới/dụng cụ/vũ khí
正统	 正統	 chính thống	 chính thống/dòng chính/chính phái/chính tông
魔术	 魔術	 ma thuật	 ma thuật/ảo thuật/trò quỷ thuật/trò phù thủy
反面	 反面	 phản diện	 phản diện/mặt trái/bề trái
堂堂	 堂堂	 đường đường	 đường đường
万事	 萬事	 vạn sự	 mọi sự/vạn sự/mọi việc/muôn việc
改装	 改裝	 cải trang	 cải trang/thay đổi bao bì/lắp lại
品格	 品格	 phẩm cách	 phẩm cách/phẩm giá/phong cách
核算	 核算	 hạch toán	 hạch toán
老四	 老四	 lão tứ	 lão Tứ/lão tứ
无常	 無常	 vô thường	 vô thường/thay đổi luôn/không ổn định/thất thường/thần chết/quỷ vô thường/xảy ra chuyện vô thường/chết
航海	 航海	 hàng hải	 hàng hải/đi biển/giao thông trên biển
婚事	 婚事	 hôn sự	 hôn sự/việc lấy nhau/việc cưới vợ lấy chồng/việc cưới xin/việc hôn nhân
同乡	 同鄉	 đồng hương	 đồng hương/cùng quê
照看	 照看	 chiếu khán	 chiếu khán/chăm sóc/trông nom/săn sóc
平方	 平方	 bình phương	 bình phương/bậc hai/mét vuông
电气	 電氣	 điện khí	 điện khí/điện
王爷	 王爺	 vương gia	 Vương gia/đức vua
利害	 利害	 lợi hại	 lợi hại/lợi và hại/thiệt hơn/ghê gớm
上流	 上流	 thượng lưu	 thượng lưu/thượng du
高超	 高超	 cao siêu	 cao siêu/tuyệt vời
外围	 外圍	 ngoại vi	 bên ngoài/ngoại vi/chu vi/chung quanh/xung quanh
婶婶	 嬸嬸	 thẩm thẩm	 thẩm thẩm/thím
功率	 功率	 công suất	 công suất
论点	 論點	 luận điểm	 luận điểm
压倒	 壓倒	 áp đảo	 áp đảo/vượt qua
飞鸟	 飛鳥	 phi điểu	 phi điểu
酒馆	 酒館	 tửu quán	 tửu quán
相公	 相公	 tướng công	 tướng công
军阀	 軍閥	 quân phiệt	 quân phiệt/bọn quân nhân phản động chống đối chính trị
强暴	 強暴	 cường bạo	 cường bạo/hung bạo/hung dữ/thế lực hung bạo/thế lực hung tàn
银河	 銀河	 ngân hà	 ngân hà/sông ngân
无题	 無題	 vô đề	 vô đề/không đề mục/không đề
断绝	 斷絕	 đoạn tuyệt	 đoạn tuyệt/cắt đứt
连队	 連隊	 liên đội	 liên đội/đại đội
殖民	 殖民	 thực dân	 thực dân
天国	 天國	 thiên quốc	 thiên quốc/Thiên Quốc/thiên đường/thế giới lý tưởng
昆虫	 昆蟲	 côn trùng	 côn trùng/sâu bọ
本部	 本部	 bản bộ	 bản bộ/cốt lõi/phần quan trọng/phần trung tâm
大将	 大將	 đại tướng	 đại tướng/tướng lĩnh/thủ lĩnh
同感	 同感	 đồng cảm	 đồng cảm/cảm tưởng giống nhau
总局	 總局	 tổng cục	 tổng cục
山口	 山口	 sơn khẩu	 sơn khẩu/đèo/miệng núi
路费	 路費	 lộ phí	 lộ phí/phí đi đường
顺势	 順勢	 thuận thế	 thuận thế/theo tình thế/nhân tình thế/thuận tiện/tiện thể/nhân tiện/tiện dịp
动情	 動情	 động tình	 động tình/xúc động/gợi tình/sinh lòng ái mộ/sinh lòng yêu thương
分区	 分區	 phân khu	 phân khu/vùng/khu vực/phân miền/tiểu khu/địa hạt
记号	 記號	 ký hiệu	 ký hiệu/dấu hiệu/đánh dấu
提拔	 提拔	 đề bạt	 đề bạt/cất nhắc
固有	 固有	 cố hữu	 cố hữu/vốn có/sẵn có
知音	 知音	 tri âm	 tri âm
诸侯	 諸侯	 chư hầu	 chư hầu/các nước chư hầu
遗嘱	 遺囑	 di chúc	 di chúc/trăng trối/lời di chúc/lời trăng trối
学识	 學識	 học thức	 học thức
教徒	 教徒	 giáo đồ	 giáo đồ/tín đồ/người theo đạo/con chiên
户籍	 戶籍	 hộ tịch	 hộ tịch
装潢	 裝潢	 trang hoàng	 trang hoàng/sự trang điểm/hình trang trí
情妇	 情婦	 tình phụ	 tình phụ/tình nhân/nhân tình
移居	 移居	 di cư	 di cư/chuyển chỗ ở
凡人	 凡人	 phàm nhân	 phàm nhân/con người/người bình thường/người tầm thường/người trần/người phàm trần/người trần tục/người phàm
原型	 原型	 nguyên hình	 nguyên hình/nguyên mẫu/mẫu đầu tiên/mô hình vốn có
高傲	 高傲	 cao ngạo	 cao ngạo/kiêu ngạo/kiêu căng
衰退	 衰退	 suy thoái	 suy yếu/suy tàn/suy đồi/suy thoái
近视	 近視	 cận thị	 cận thị/tầm mắt hạn hẹp/thiển cận
容颜	 容顏	 dung nhan	 dung nhan/dung mạo/vẻ mặt
贿赂	 賄賂	 hối lộ	 hối lộ/đút lót/đút tiền/của đút lót/của hối lộ/tiền hối lộ
出嫁	 出嫁	 xuất giá	 xuất giá/lấy chồng
调解	 調解	 điều giải	 điều giải/điều đình/hoà giải
大殿	 大殿	 đại điện	 đại điện/điện chầu
宝藏	 寶藏	 bảo tàng	 bảo tàng/kho báu/kho tàng
零星	 零星	 linh tinh	 linh tinh/lẻ tẻ/vụn vặt/nhỏ nhặt/số ít còn lại/lác đác
政客	 政客	 chính khách	 chính khách
苛刻	 苛刻	 hà khắc	 hà khắc/ngặt nghèo/khắc nghiệt/xét nghiệt ngã
爱慕	 愛慕	 ái mộ	 ái mộ/ham/mến mộ/mê thích/yêu chuộng/tôn sùng/sùng bái/tôn thờ
天河	 天河	 thiên hà	 thiên hà/ngân hà/sông ngân
柔弱	 柔弱	 nhu nhược	 nhu nhược/mềm yếu/yếu đuối/mỏng manh
军医	 軍醫	 quân y	 quân y
相称	 相稱	 tương xứng	 tương xứng/xứng với nhau/xứng/hợp
无望	 無望	 vô vọng	 vô vọng/hết hi vọng
崇敬	 崇敬	 sùng kính	 sùng kính/sùng bái/tôn thờ/suy tôn/kính mến/tôn kính/quý trọng/kính yêu
史记	 史記	 sử ký	 sử ký
即刻	 即刻	 tức khắc	 tức khắc/lập tức/ngay lập tức
共和	 共和	 cộng hòa	 cộng hòa/cộng hoà/chế độ cộng hoà
歌颂	 歌頌	 ca tụng	 ca tụng/ca ngợi
废物	 廢物	 phế vật	 phế vật/đồ bỏ đi/vật bỏ đi/phế phẩm/rác rưởi/đồ ăn hại/đồ vô dụng
惊愕	 驚愕	 kinh ngạc	 kinh ngạc/sửng sốt/hết sức ngạc nhiên
邪教	 邪教	 tà giáo	 tà giáo
功德	 功德	 công đức	 công đức/công ơn/công lao và ân đức/việc thiện/công quả
附录	 附錄	 phụ lục	 phụ lục/phần thêm vào/vật thêm vào
粗鲁	 粗魯	 thô lỗ	 thô lỗ/lỗ mãng/tục tằn/thô bỉ/thô bạo
毒药	 毒藥	 độc dược	 độc dược/thuốc độc
盗贼	 盜賊	 đạo tặc	 đạo tặc/bọn trộm cướp/bọn trộm cắp
合作社	 合作社	 hợp tác xã	 hợp tác xã
壮丽	 壯麗	 tráng lệ	 tráng lệ/lộng lẫy/đẹp đẽ/đồ sộ
进取	 進取	 tiến thủ	 tiến thủ/mạnh dạn/dám nghĩ dám làm
勋章	 勛章	 huân chương	 huân chương
发电	 發電	 phát điện	 phát điện/đánh điện báo/đánh điện tín
蔑视	 蔑視	 miệt thị	 miệt thị/coi thường/coi khinh
京师	 京師	 kinh sư	 kinh sư/thủ đô/kinh thành
淳朴	 淳樸	 thuần phác	 thuần phác/thành thật chất phác/thanh khiết/tinh khiết/giản dị/mộc mạc
残暴	 殘暴	 tàn bạo	 tàn bạo/tàn nhẫn hung ác
蓬勃	 蓬勃	 bồng bột	 bồng bột/mạnh mẽ/phồn vinh/phồn thịnh/lên ùn ùn
五行	 五行	 ngũ hành	 ngũ hành
名利	 名利	 danh lợi	 danh lợi
娘娘	 孃孃	 nương nương	 nương nương/hoàng hậu/quý phi/bà
政务	 政務	 chính vụ	 chính vụ/việc chính trị/công tác quản lý nhà nước
多用	 多用	 đa dụng	 đa dụng/dùng nhiều/hữu dụng/nhiều mục đích
中性	 中性	 trung tính	 trung tính/giống trung/từ trung tính
李家	 李家	 lý gia	 Lý gia
份量	 份量	 phân lượng	 phân lượng
机智	 機智	 cơ trí	 cơ trí/lanh trí/tinh nhanh/linh hoạt
邻近	 鄰近	 lân cận	 lân cận/bên cạnh/gần/phụ cận
长者	 長者	 trưởng giả	 trưởng giả/bậc trưởng thượng/trưởng lão
疏散	 疏散	 sơ tán	 sơ tán/thưa thớt/lưa thưa/phân tán/rải rác/lơ thơ
师弟	 師弟	 sư đệ	 sư đệ/thầy và trò
出神	 出神	 xuất thần	 xuất thần/say sưa/say mê/bàng hoàng/mê mẩn/sững sờ
判定	 判定	 phán định	 phán định/quyết định
奴才	 奴才	 nô tài	 nô tài/gia nô/kẻ cam tâm làm tôi tớ cho người
天山	 天山	 thiên sơn	 Thiên Sơn
租界	 租界	 tô giới	 tô giới
进士	 進士	 tiến sĩ	 tiến sĩ
清算	 清算	 thanh toán	 thanh toán/tính rõ/tính toán rành mạch/thanh toán sổ sách/xử lí
宰相	 宰相	 tể tướng	 Tể tướng/tể tướng/thừa tướng
形体	 形體	 hình thể	 hình thể/hình dáng/hình thái/hình dạng và cấu tạo
痴情	 痴情	 si tình	 si tình/tình si/mối tình si/cuồng dại/mê đắm/phải lòng/mê tít
修辞	 修辭	 tu từ	 tu từ
防备	 防備	 phòng bị	 phòng bị/phòng ngừa/đề phòng
新世界	 新世界	 tân thế giới	 tân thế giới
暴动	 暴動	 bạo động	 bạo động
元老	 元老	 nguyên lão	 nguyên lão/già cả
全局	 全局	 toàn cục	 toàn cục/toàn bộ/toàn cuộc
格调	 格調	 cách điệu	 cách điệu/phong cách/phẩm cách
边防	 邊防	 biên phòng	 biên phòng
迷离	 迷離	 mê ly	 mê ly/mơ mơ màng màng/lờ mà lờ mờ/chập chờn/lờ mờ/mập mờ
供求	 供求	 cung cầu	 cung cầu
治国	 治國	 trị quốc	 trị quốc
愚昧	 愚昧	 ngu muội	 ngu muội/dốt nát/mù quáng/ngu dốt
催眠	 催眠	 thôi miên	 thôi miên/giấc ngủ nhân tạo/gây ngủ
少林	 少林	 thiếu lâm	 Thiếu Lâm
败坏	 敗壞	 bại hoại	 bại hoại/làm hư hại/gây thiệt hại/làm nhơ nhuốc/làm ô uế/tồi tệ/tầm thường/suy đồi/làm tổn hại/làm hỏng/mất/đáng khinh
暗杀	 暗殺	 ám sát	 ám sát
放火	 放火	 phóng hỏa	 phóng hỏa/đốt/phóng hoả/kích động bạo loạn/xúi giục làm loạn
公事	 公事	 công sự	 công sự/việc công/việc chung/công văn/giấy tờ
奉命	 奉命	 phụng mệnh	 phụng mệnh/tuân mệnh/vâng mệnh
法宝	 法寶	 pháp bảo	 pháp bảo/bùa/phép/phép báu/phép mầu
萧条	 蕭條	 tiêu điều	 tiêu điều/đìu hiu/không có sinh khí/suy thoái
虚无	 虛無	 hư vô	 hư vô
怪事	 怪事	 quái sự	 việc lạ/quái sự/sự việc kỳ quái/chuyện quái dị/chuyện kỳ lạ
不凡	 不凡	 bất phàm/phi phàm	 bất phàm/phi phàm/siêu đẳng/siêu phàm/không tầm thường/tài giỏi
副词	 副詞	 phó từ	 phó từ/trạng từ
精巧	 精巧	 tinh xảo	 tinh xảo/khéo léo/tinh vi
感官	 感官	 cảm quan	 cảm quan/giác quan/cơ quan cảm giác
月刊	 月刊	 nguyệt san	 nguyệt san/tạp chí xuất bản hàng tháng
大本营	 大本營	 đại bản doanh	 đại bản doanh/đại doanh/bộ chỉ huy tối cao/trung tâm/chỗ đóng quân
打伤	 打傷	 đả thương	 đả thương/làm bị thương/đánh bị thương
因缘	 因緣	 nhân duyên	 nhân duyên/duyên/duyên cớ/duyên phận/duyên kiếp
军营	 軍營	 quân doanh	 quân doanh/doanh trại quân đội/doanh trại/trại lính
行踪	 行蹤	 hành tung	 hành tung
浪子	 浪子	 lãng tử	 lãng tử/kẻ bạt mạng/kẻ phóng đãng/kép khiêu vũ/kẻ phong lưu
提防	 提防	 đề phòng	 đề phòng/phòng bị/đề phòng cẩn thận/phòng bị cẩn thận
端庄	 端莊	 đoan trang	 đoan trang/lễ độ/đoan chính
后裔	 後裔	 hậu duệ	 hậu duệ/con cháu
仙子	 仙子	 tiên tử	 tiên tử/tiên nữ/người tiên
化装	 化裝	 hóa trang	 hóa trang/hoá trang/giả dạng/đóng giả/cải trang
正午	 正午	 chính ngọ	 chính ngọ/đúng ngọ/giữa trưa
警戒	 警戒	 cảnh giới	 cảnh giới/khuyên giải/khuyên can/canh gác
劝告	 勸告	 khuyến cáo	 khuyên bảo/khuyến cáo/khuyên nhủ/khuyên giải/lời khuyên nhủ/lời khuyên răn
节制	 節制	 tiết chế	 tiết chế/chỉ huy/quản hạt/hạn chế/khống chế/điều độ/điều khiển
出外	 出外	 xuất ngoại	 xuất ngoại/đến nơi khác/xa nhà/đi xa
会合	 會合	 hội hợp	 hội hợp/hội họp/hợp nhất/hợp lại/hợp dòng/tụ họp lại
成败	 成敗	 thành bại	 thành bại
懦弱	 懦弱	 nhu nhược	 yếu đuối/nhu nhược/hèn yếu/hèn nhát/nhát gan
豪爽	 豪爽	 hào sảng	 hào sảng/hào phóng/rộng rãi/thẳng thắn/ngay thẳng phóng khoáng
结晶	 結晶	 kết tinh	 kết tinh/tinh thể/pha lê/thành quả/kết quả
检疫	 檢疫	 kiểm dịch	 kiểm dịch
职权	 職權	 chức quyền	 chức quyền/quyền hạn
重叠	 重疊	 trùng điệp	 trọng điệp/trùng điệp/trùng lặp/chồng/chồng nhau/gối lên nhau/chồng chéo/chồng lên/đè lên nhau
告状	 告狀	 cáo trạng	 cáo trạng/kiện/tố cáo
脱衣	 脫衣	 thoát y	 thoát y/cởi quần áo
预报	 預報	 dự báo	 dự báo/báo trước
专政	 專政	 chuyên chính	 chuyên chính
急性	 急性	 cấp tính	 cấp tính/nôn nóng/hấp tấp/nóng vội
失意	 失意	 thất ý	 thất ý/ngã lòng/không được như ý
破案	 破案	 phá án	 phá án
不祥	 不祥	 bất tường	 điềm xấu/bất tường/chẳng lành/chẳng may
直属	 直屬	 trực thuộc	 lệ thuộc trực tiếp/thuộc/trực thuộc
君主	 君主	 quân chủ	 quân chủ/vua
史诗	 史詩	 sử thi	 sử thi/anh hùng ca
原作	 原作	 nguyên tác	 nguyên tác/nguyên bản/nguyên văn
畜生	 畜生	 súc sinh	 súc sinh/súc vật/thú vật/kẻ cục súc/kẻ vũ phu
同声	 同聲	 đồng thanh	 đồng thanh
资质	 資質	 tư chất	 tư chất/trí lực/tố chất con người
政委	 政委	 chính ủy	 chính ủy/ủy viên chính trị
回乡	 回鄉	 hồi hương	 hồi hương/trở về quê hương
金陵	 金陵	 kim lăng	 Kim Lăng
星际	 星際	 tinh tế	 tinh tế/giữa các vì sao/giữa các hành tinh
眷恋	 眷戀	 quyến luyến	 quyến luyến/lưu luyến
构筑	 構築	 cấu trúc	 cấu trúc/cấu tạo/xây dựng
彷徨	 徬徨	 bàng hoàng	 bàng hoàng/do dự/lưỡng lự/băn khoăn
踪迹	 蹤跡	 tung tích	 tung tích/vết tích/dấu vết/dấu tích
巡警	 巡警	 tuần cảnh	 tuần cảnh
根基	 根基	 căn cơ	 căn cơ/cơ sở/móng/nền/nền móng/vốn/vốn gốc/vốn liếng/vốn căn bản
护送	 護送	 hộ tống	 hộ tống/áp tải
义气	 義氣	 nghĩa khí	 nghĩa khí/tình nghĩa/có nghĩa khí
身形	 身形	 thân hình	 thân hình
西宁	 西寧	 tây ninh	 Tây Ninh/tỉnh Tây Ninh
新兵	 新兵	 tân binh	 tân binh
戒严	 戒嚴	 giới nghiêm	 giới nghiêm/thiết quân luật
节俭	 節儉	 tiết kiệm	 tiết kiệm/khổ hạnh/căn cơ/thanh đạm
罗汉	 羅漢	 la hán	 La Hán/la hán
尘世	 塵世	 trần thế	 trần thế/cõi trần/cõi tục/trần gian
互助	 互助	 hỗ trợ	 hỗ trợ/giúp đỡ nhau/giúp đỡ lẫn nhau
原子	 原子	 nguyên tử	 nguyên tử
次序	 次序	 thứ tự	 thứ tự/trình tự/trật tự
失声	 失聲	 thất thanh	 thất thanh/nghẹn ngào
审问	 審問	 thẩm vấn	 thẩm vấn/xét hỏi/tra vấn
宣誓	 宣誓	 tuyên thệ	 tuyên thệ/nói to lên những lời thề nguyền hẹn ước
参谋	 參謀	 tham mưu	 tham mưu/ban tham mưu/cố vấn/tư vấn/góp ý/quân sư/người cố vấn/người góp ý/người tư vấn
赏识	 賞識	 thưởng thức	 thưởng thức/ngưỡng mộ/tán thưởng/khen ngợi
全景	 全景	 toàn cảnh	 toàn cảnh
太后	 太后	 thái hậu	 thái hậu
凄惨	 淒慘	 thê thảm	 thê thảm/thảm thương
元音	 元音	 nguyên âm	 nguyên âm
无意识	 無意識	 vô ý thức	 vô ý thức/không chủ định/không có ý thức
现时	 現時	 hiện thời	 hiện thời/hiện nay
特制	 特製	 đặc chế	 đặc chế/chế tạo đặc biệt
盛世	 盛世	 thịnh thế	 thịnh thế/thời thịnh/thời hoàng kim/thời đại hưng thịnh/đời thịnh
船员	 船員	 thuyền viên	 thuyền viên/thuỷ thủ/lính thuỷ/người đi biển/nhân viên làm việc trên tàu
火力	 火力	 hỏa lực	 hỏa lực/sức lửa đốt/hoả lực/sức chịu lạnh/chịu lạnh
交情	 交情	 giao tình	 giao tình/tình cảm qua lại/tình bạn/tình bằng hữu/giao hảo
突兀	 突兀	 đột ngột	 đột ngột/cao ngất/cao vút/cao chót vót/bỗng nhiên/bất ngờ/chót vót
天意	 天意	 thiên ý	 thiên ý/ý trời
闲暇	 閑暇	 nhàn hạ	 nhàn hạ/rỗi rãi
完备	 完備	 hoàn bị	 hoàn bị/đủ/đầy đủ/hoàn mỹ
大家庭	 大家庭	 đại gia đình	 đại gia đình/gia đình lớn/cộng đồng
结伴	 結伴	 kết bạn	 kết bạn/kết giao
团圆	 團圓	 đoàn viên	 đoàn viên/sum họp/sum vầy/đoàn tụ/tròn/hình tròn
多事	 多事	 đa sự	 nhiều chuyện/đa sự/thừa/làm việc không cần thiết/làm việc thừa/làm việc không nên làm/rối loạn
假冒	 假冒	 giả mạo	 giả mạo/giả danh
无味	 無味	 vô vị	 vô vị/nhạt nhẽo/nhạt phèo/không thú vị gì/chán phèo/chán
放射	 放射	 phóng xạ	 phóng xạ/phóng ra/phát ra
销毁	 銷毀	 tiêu hủy	 tiêu hủy/hủy bỏ
仁慈	 仁慈	 nhân từ	 nhân từ
行星	 行星	 hành tinh	 hành tinh
变异	 變異	 biến dị	 biến dị/khác thường/thay đổi
渔民	 漁民	 ngư dân	 ngư dân/người đánh cá/dân chài/dân đánh cá
决战	 決戰	 quyết chiến	 quyết chiến
文武	 文武	 văn võ	 văn võ
愕然	 愕然	 ngạc nhiên	 ngạc nhiên/kinh ngạc/lấy làm lạ
敬重	 敬重	 kính trọng	 kính trọng/tôn kính/tôn sùng/tôn trọng
卫兵	 衛兵	 vệ binh	 vệ binh/lính cảnh vệ/vệ sĩ
重修	 重修	 trùng tu	 trùng tu/sửa lại
食客	 食客	 thực khách	 thực khách
情深	 情深	 tình thâm	 tình thâm
骨髓	 骨髓	 cốt tủy	 cốt tủy/tuỷ/tuỷ xương
教案	 教案	 giáo án	 giáo án
质朴	 質朴	 chất phác	 chất phác/mộc mạc
弹药	 彈藥	 đạn dược	 đạn dược
情缘	 情緣	 tình duyên	 tình duyên
联欢	 聯歡	 liên hoan	 liên hoan
定性	 定性	 định tính	 định tính
情意	 情意	 tình ý	 tình ý/tình nghĩa/tình cảm
光学	 光學	 quang học	 quang học
全能	 全能	 toàn năng	 toàn năng
三宝	 三寶	 tam bảo	 tam bảo/ba vật quý
仙境	 仙境	 tiên cảnh	 tiên cảnh/cõi tiên/bồng lai/cảnh tiên/cảnh đẹp
支队	 支隊	 chi đội	 chi đội
羚羊	 羚羊	 linh dương	 linh dương
门下	 門下	 môn hạ	 môn hạ/môn khách/học trò/môn đệ
穿透	 穿透	 xuyên thấu	 xuyên thấu
权势	 權勢	 quyền thế	 quyền thế
真空	 真空	 chân không	 chân không/trạng thái chân không/khoảng chân không
青天	 青天	 thanh thiên	 thanh thiên/trời xanh/quan thanh liêm
留守	 留守	 lưu thủ	 lưu thủ/đóng giữ/đơn vị trực ở lại
未婚妻	 未婚妻	 vị hôn thê	 vị hôn thê/vợ chưa cưới
独到	 獨到	 độc đáo	 độc đáo/đặc sắc
绝招	 絕招	 tuyệt chiêu	 tuyệt chiêu/tuyệt kỹ/tay nghề tuyệt vời/mẹo/bí quyết
调和	 調和	 điều hòa	 điều hòa/điều hoà/hoà giải/điều đình/dàn xếp/thoả hiệp/nhượng bộ
处死	 處死	 xử tử	 xử tử/hành quyết/hành hình
毁坏	 毀壞	 hủy hoại	 hủy hoại/phá hoại/phá hủy/huỷ hoại/phá huỷ
婉转	 婉轉	 uyển chuyển	 uyển chuyển/khéo léo/dịu dàng/du dương/trầm bổng/véo von
邮费	 郵費	 bưu phí	 bưu phí/cước phí bưu điện
红花	 紅花	 hồng hoa	 hoa hồng/hồng hoa
孩童	 孩童	 hài đồng	 hài đồng/nhi đồng/trẻ em/trẻ con/em bé
英明	 英明	 anh minh	 anh minh/sáng suốt
伤势	 傷勢	 thương thế	 thương thế/tình trạng vết thương/tình trạng thương tích
混杂	 混雜	 hỗn tạp	 hỗn tạp/trộn lẫn/lẫn lộn/pha tạp
意念	 意念	 ý niệm	 ý niệm/nghĩ cách/tìm cách
大公	 大公	 đại công	 đại công
争斗	 爭鬥	 tranh đấu	 tranh đấu/đánh nhau/đánh lộn/tranh nhau/tranh giành
总司令	 總司令	 tổng tư lệnh	 Tổng tư lệnh/tổng tư lệnh
特种	 特種	 đặc chủng	 đặc chủng/loại đặc biệt
悠扬	 悠颺	 du dương	 du dương/êm ái/trầm bổng
王室	 王室	 vương thất	 vương thất/họ vua/họ tôn thất/vương tộc/hoàng tộc/triều đình
周旋	 周旋	 chu toàn	 chu toàn/vòng quanh/lượn quanh/lượn vòng/giao thiệp/chào hỏi/làm quen/quần nhau/vật lộn/đọ sức
猩猩	 猩猩	 tinh tinh	 tinh tinh/con tinh tinh/con đười ươi
苦心	 苦心	 khổ tâm	 khổ tâm/vất vả tâm sức/tốn sức
寓意	 寓意	 ngụ ý	 ngụ ý
游学	 遊學	 du học	 du học
大官	 大官	 đại quan	 đại quan/ngài/tiên sinh
军民	 軍民	 quân dân	 quân dân/quân và dân/quân đội và nhân dân
交接	 交接	 giao tiếp	 giao tiếp/nối nhau/liên tiếp/giao nhau/kề bên/giao nhận/kết giao/kết bạn
谈笑	 談笑	 đàm tiếu	 đàm tiếu
偏向	 偏向	 thiên hướng	 thiên hướng/khuynh hướng/thiên lệch/sai lệch/bất công/thiên vị
士气	 士氣	 sĩ khí	 sĩ khí/tinh thần của binh sĩ
切磋	 切磋	 thiết tha	 luận bàn/cắt gọt mài giũa/thiết tha/cũng là theo nghĩa ấy
诚心	 誠心	 thành tâm	 thành tâm/lòng thành/sự thật lòng/thật tâm/chân tình/thành khẩn
横行	 橫行	 hoành hành	 hoành hành/hống hách lộng hành/ngang ngược/ỷ thế làm bậy
白玉	 白玉	 bạch ngọc	 bạch ngọc
大抵	 大抵	 đại để	 đại để/nói chung/đại thể/đại khái
净土	 淨土	 tịnh thổ	 Niết bàn/Tịnh thổ/thiên đường/chốn cực lạc/chốn bồng lai
提纲	 提綱	 đề cương	 đề cương
陷害	 陷害	 hãm hại	 hãm hại/hãm hại người ta vào nơi túng cực
必胜	 必勝	 tất thắng	 tất thắng/ắt thắng
大兵	 大兵	 đại binh	 đại binh/binh sĩ/lính/đại quân/lực lượng hùng mạnh/nhiều quân lính
俗语	 俗語	 tục ngữ	 tục ngữ
手淫	 手淫	 thủ dâm	 thủ dâm
道教	 道教	 đạo giáo	 đạo giáo
悔恨	 悔恨	 hối hận	 hối hận/hối lỗi/ăn năn/ân hận/nuối tiếc
题词	 題詞	 đề từ	 đề từ/lời đề từ/lời tựa
冰山	 冰山	 băng sơn	 băng sơn/núi băng/chỗ dựa mỏng manh/chỗ nương tựa không thể nhờ cậy lâu dài được
身手	 身手	 thân thủ	 thân thủ/bản lĩnh/tài nghệ/khả năng/tài năng
危急	 危急	 nguy cấp	 nguy cấp/nguy ngập/hiểm nghèo
